clipname,namefirst,namelast,setting,ppl,sessionname,sessionnotes,startdate,name,id,latlng
Scenes from Jazz Fest,"""Brother""","Joseph
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982,0,"32.6410, -90.3648"
Scenes from Jazz Fest,"""Brother""","Joseph
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982,1,"29.9511, -90.0715"
Scenes from Jazz Fest,Ephram,"Towns
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982,2,"32.6410, -90.3648"
Scenes from Jazz Fest,Ephram,"Towns
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982,3,"29.9511, -90.0715"
Scenes from Jazz Fest,Benny,"Jones
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982,4,"32.6410, -90.3648"
Scenes from Jazz Fest,Benny,"Jones
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982,5,"29.9511, -90.0715"
Scenes from Jazz Fest,Kurt,"Joseph
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982,6,"32.6410, -90.3648"
Scenes from Jazz Fest,Kurt,"Joseph
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982,7,"29.9511, -90.0715"
Scenes from Jazz Fest,Roger,"Lewis
",At the farm of Jack Owens,Bentonia,Jack Owens & Bud Spires,"02.01.01 through 02.01.27 shot Aug. 12; the remaining on Aug. 14. Unless otherwise noted, all tracks feature Jack Owens on vocal and guitar and Bud Spires on harmonica.",1978-08-12T04:00:00.000Z,New Orleans 1982,8,"32.6410, -90.3648"
Scenes from Jazz Fest,Roger,"Lewis
",New Orleans Jazz & Heritage Festival,New Orleans,1982 New Orleans Jazz & Heritage Festival,"Shots of the Zulus, Big Jumpers, Young Men's Olympians, Dirty Dozen Brass Band and assorted Jazz Fest attendees.  Dirty Dozen members: ""Brother"" Charles Joseph: trombone; Ephram Towns: trumpet; Benny Jones: bass drum; Kurt Joseph: tuba; Roger Lewis: barit",1982-05-08T04:00:00.000Z,New Orleans 1982,9,"29.9511, -90.0715"
